dist	tag	x	Q	error
gamma	cdf	7.5691769e-30	0.00100000	0.00001041
gamma	quantile	7.5691769e-30	0.00100000	-0.00002000
gamma	cdf	5.6834377e-20	0.01000000	-0.00003366
gamma	quantile	5.6834377e-20	0.01000000	-0.00007000
gamma	cdf	6.1804535e-10	0.10000000	-0.00016097
gamma	quantile	6.1804535e-10	0.10000000	-0.00051000
gamma	cdf	0.0060382835	0.50000000	-0.00026187
gamma	quantile	0.0060382835	0.50000000	0.00212000
gamma	cdf	2.6434824	0.90000000	0.00009714
gamma	quantile	2.6434824	0.90000000	0.00086000
gamma	cdf	15.663046	0.99000000	-0.00001948
gamma	quantile	15.663046	0.99000000	0.00012000
gamma	cdf	33.996034	0.99900000	0.00000320
gamma	quantile	33.996034	0.99900000	-0.00008000
